time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2059.013188,0.0583097716,0.1293109704,0.1814998293,0.3488587130
2059.096512,0.0572315222,0.1268289495,0.1783897617,0.3461263713
2059.179837,0.0561953639,0.1243866623,0.1754274567,0.3434139557
2059.263162,0.0552020098,0.1219914524,0.1726158500,0.3407267405
2059.346486,0.0542520282,0.1196502729,0.1699567783,0.3380696561
2059.429811,0.0533458430,0.1173696397,0.1674509969,0.3354472597
2059.513136,0.0524837354,0.1151555883,0.1650982079,0.3328637096
2059.596460,0.0516658460,0.1130136364,0.1628970972,0.3303227452
2059.679785,0.0508921769,0.1109487501,0.1608453802,0.3278276700
2059.763109,0.0501625946,0.1089653165,0.1589398545,0.3253813404
2059.846434,0.0494768337,0.1070671202,0.1571764592,0.3229861584
2059.929759,0.0488345002,0.1052573264,0.1555503400,0.3206440686
2060.013083,0.0482350764,0.1035384678,0.1540559184,0.3183565594
2060.096408,0.0476779249,0.1019124383,0.1526869639,0.3161246684
2060.179733,0.0471622943,0.1003804905,0.1514366690,0.3139489916
2060.263057,0.0466873243,0.0989432395,0.1502977246,0.3118296959
2060.346382,0.0462520514,0.0976006713,0.1492623967,0.3097665350
2060.429707,0.0458554154,0.0963521557,0.1483226009,0.3077588685
2060.513031,0.0454962660,0.0951964644,0.1474699770,0.3058056834
2060.596356,0.0451733689,0.0941317936,0.1466959594,0.3039056185
2060.679681,0.0448854134,0.0931557903,0.1459918467,0.3020569902
2060.763005,0.0446310197,0.0922655831,0.1453488661,0.3002578204
2060.846330,0.0444087458,0.0914578164,0.1447582352,0.2985058662
2060.929655,0.0442170958,0.0907286878,0.1442112191,0.2967986497
2061.012979,0.0440545272,0.0900739888,0.1436991836,0.2951334897
2061.096304,0.0439194590,0.0894891476,0.1432136442,0.2935075330
2061.179629,0.0438102794,0.0889692744,0.1427463108,0.2919177862
2061.262953,0.0437253540,0.0885092087,0.1422891286,0.2903611474
2061.346278,0.0436630333,0.0881035672,0.1418343146,0.2888344373
2061.429603,0.0436216608,0.0877467937,0.1413743911,0.2873344299
2061.512927,0.0435995810,0.0874332084,0.1409022160,0.2858578818
2061.596252,0.0435951461,0.0871570582,0.1404110094,0.2844015611
2061.679577,0.0436067243,0.0869125661,0.1398943789,0.2829622743
2061.762901,0.0436327062,0.0866939800,0.1393463410,0.2815368922
2061.846226,0.0436715121,0.0864956203,0.1387613420,0.2801223739
2061.929551,0.0437215982,0.0863119260,0.1381342762,0.2787157892
2062.012875,0.0437814631,0.0861374985,0.1374605030,0.2773143393
2062.096200,0.0438496532,0.0859671437,0.1367358628,0.2759153749
2062.179525,0.0439247684,0.0857959107,0.1359566910,0.2745164135
2062.262849,0.0440054665,0.0856191282,0.1351198316,0.2731151538
2062.346174,0.0440904681,0.0854324371,0.1342226490,0.2717094882
2062.429499,0.0441785603,0.0852318202,0.1332630385,0.2702975138
2062.512823,0.0442685999,0.0850136274,0.1322394356,0.2688775408
2062.596148,0.0443595166,0.0847745980,0.1311508229,0.2674480996
2062.679472,0.0444503148,0.0845118783,0.1299967362,0.2660079455
2062.762797,0.0445400757,0.0842230352,0.1287772667,0.2645560620
2062.846122,0.0446279584,0.0839060659,0.1274930624,0.2630916622
2062.929446,0.0447132001,0.0835594032,0.1261453249,0.2616141881
2063.012771,0.0447951166,0.0831819166,0.1247358045,0.2601233095
2063.096096,0.0448731015,0.0827729097,0.1232667906,0.2586189202
2063.179420,0.0449466253,0.0823321129,0.1217410989,0.2571011337
2063.262745,0.0450152336,0.0818596728,0.1201620546,0.2555702770
2063.346070,0.0450785453,0.0813561379,0.1185334707,0.2540268835
2063.429394,0.0451362496,0.0808224401,0.1168596230,0.2524716851
2063.512719,0.0451881035,0.0802598740,0.1151452201,0.2509056030
2063.596044,0.0452339283,0.0796700719,0.1133953687,0.2493297374
2063.679368,0.0452736055,0.0790549776,0.1116155356,0.2477453567
2063.762693,0.0453070729,0.0784168161,0.1098115045,0.2461538861
2063.846018,0.0453343203,0.0777580624,0.1079893302,0.2445568952
2063.929342,0.0453553846,0.0770814080,0.1061552881,0.2429560855
2064.012667,0.0453703449,0.0763897264,0.1043158218,0.2413532768
2064.095992,0.0453793176,0.0756860366,0.1024774874,0.2397503935
2064.179316,0.0453824513,0.0749734671,0.1006468963,0.2381494511
2064.262641,0.0453799210,0.0742552190,0.0988306566,0.2365525414
2064.345966,0.0453719236,0.0735345289,0.0970353133,0.2349618181
2064.429290,0.0453586719,0.0728146326,0.0952672897,0.2333794826
2064.512615,0.0453403897,0.0720987296,0.0935328285,0.2318077689
2064.595940,0.0453173067,0.0713899484,0.0918379347,0.2302489290
2064.679264,0.0452896534,0.0706913136,0.0901883210,0.2287052186
2064.762589,0.0452576562,0.0700057144,0.0885893559,0.2271788822
2064.845914,0.0452215333,0.0693358754,0.0870460153,0.2256721391
2064.929238,0.0451814898,0.0686843296,0.0855628385,0.2241871697
2065.012563,0.0451377141,0.0680533939,0.0841438891,0.2227261012
2065.095888,0.0450903738,0.0674451475,0.0827927210,0.2212909949
2065.179212,0.0450396129,0.0668614132,0.0815123500,0.2198838334
2065.262537,0.0449855484,0.0663037414,0.0803052322,0.2185065082
2065.345862,0.0449282679,0.0657733979,0.0791732479,0.2171608084
2065.429186,0.0448678275,0.0652713545,0.0781176927,0.2158484097
2065.512511,0.0448042501,0.0647982833,0.0771392749,0.2145708643
2065.595836,0.0447375239,0.0643545537,0.0762381195,0.2133295914
2065.679160,0.0446676017,0.0639402332,0.0754137792,0.2121258694
2065.762485,0.0445944009,0.0635550913,0.0746652507,0.2109608275
2065.845809,0.0445178028,0.0631986065,0.0739909977,0.2098354398
2065.929134,0.0444376537,0.0628699762,0.0733889798,0.2087505192
2066.012459,0.0443537657,0.0625681293,0.0728566853,0.2077067135
2066.095783,0.0442659179,0.0622917418,0.0723911701,0.2067045011
2066.179108,0.0441738581,0.0620392547,0.0719890993,0.2057441892
2066.262433,0.0440773053,0.0618088936,0.0716467934,0.2048259122
2066.345757,0.0439759516,0.0615986910,0.0713602760,0.2039496312
2066.429082,0.0438694653,0.0614065097,0.0711253242,0.2031151348
2066.512407,0.0437574940,0.0612300678,0.0709375205,0.2023220411
2066.595731,0.0436396678,0.0610669643,0.0707923046,0.2015697999
2066.679056,0.0435156030,0.0609147061,0.0706850253,0.2008576968
2066.762381,0.0433849055,0.0607707354,0.0706109918,0.2001848573
2066.845705,0.0432471752,0.0606324562,0.0705655231,0.1995502527
2066.929030,0.0431020095,0.0604972622,0.0705439957,0.1989527057
2067.012355,0.0429490077,0.0603625630,0.0705418879,0.1983908977
2067.095679,0.0427877750,0.0602258101,0.0705548218,0.1978633757
2067.179004,0.0426179267,0.0600845218,0.0705786007,0.1973685609
2067.262329,0.0424390920,0.0599363071,0.0706092432,0.1969047571
2067.345653,0.0422509182,0.0597788872,0.0706430123,0.1964701591
2067.428978,0.0420530745,0.0596101168,0.0706764406,0.1960628624
2067.512303,0.0418452556,0.0594280023,0.0707063503,0.1956808726
2067.595627,0.0416271852,0.0592307182,0.0707298681,0.1953221148
2067.678952,0.0413986197,0.0590166220,0.0707444367,0.1949844433
2067.762277,0.0411593503,0.0587842662,0.0707478198,0.1946656515
2067.845601,0.0409092068,0.0585324081,0.0707381038,0.1943634815
2067.928926,0.0406480593,0.0582600177,0.0707136951,0.1940756339
2068.012251,0.0403758207,0.0579662825,0.0706733125,0.1937997768
2068.095575,0.0400924484,0.0576506106,0.0706159774,0.1935335555
2068.178900,0.0397979457,0.0573126312,0.0705409992,0.1932746015
2068.262225,0.0394923628,0.0569521933,0.0704479591,0.1930205412
